delta_1_volume,delta_2_volume,delta_3_volume,delta_4_volume,delta_5_volume,is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"12","10","19","38","13","0","0","0","0","0","1","47","59","69","88","126","139","88","2016-09-20 09:40:00","173"
"1","-8","24","1","-1","1","0","0","0","0","0","78","79","71","95","96","95","85","2016-09-20 17:00:00","111"
"1","-8","24","1","-1","0","1","0","0","0","0","78","79","71","95","96","95","85","2016-09-20 17:20:00","110"
"1","-8","24","1","-1","0","0","1","0","0","0","78","79","71","95","96","95","85","2016-09-20 17:40:00","133"
"1","-8","24","1","-1","0","0","0","1","0","0","78","79","71","95","96","95","85","2016-09-20 18:00:00","78"
"1","-8","24","1","-1","0","0","0","0","1","0","78","79","71","95","96","95","85","2016-09-20 18:20:00","60"
"1","-8","24","1","-1","0","0","0","0","0","1","78","79","71","95","96","95","85","2016-09-20 18:40:00","53"
"14","21","6","17","5","1","0","0","0","0","0","36","50","71","77","94","99","71","2016-09-21 08:00:00","100"
"14","21","6","17","5","0","1","0","0","0","0","36","50","71","77","94","99","71","2016-09-21 08:20:00","105"
"14","21","6","17","5","0","0","1","0","0","0","36","50","71","77","94","99","71","2016-09-21 08:40:00","119"
"14","21","6","17","5","0","0","0","1","0","0","36","50","71","77","94","99","71","2016-09-21 09:00:00","137"
"14","21","6","17","5","0","0","0","0","1","0","36","50","71","77","94","99","71","2016-09-21 09:20:00","132"
"14","21","6","17","5","0","0","0","0","0","1","36","50","71","77","94","99","71","2016-09-21 09:40:00","122"
"-2","-6","15","-8","1","1","0","0","0","0","0","98","96","90","105","97","98","97","2016-09-21 17:00:00","94"
"-2","-6","15","-8","1","0","1","0","0","0","0","98","96","90","105","97","98","97","2016-09-21 17:20:00","109"
"-2","-6","15","-8","1","0","0","1","0","0","0","98","96","90","105","97","98","97","2016-09-21 17:40:00","94"
"-2","-6","15","-8","1","0","0","0","1","0","0","98","96","90","105","97","98","97","2016-09-21 18:00:00","74"
"-2","-6","15","-8","1","0","0","0","0","1","0","98","96","90","105","97","98","97","2016-09-21 18:20:00","85"
"-2","-6","15","-8","1","0","0","0","0","0","1","98","96","90","105","97","98","97","2016-09-21 18:40:00","78"
"19","-1","19","17","4","1","0","0","0","0","0","42","61","60","79","96","100","73","2016-09-22 08:00:00","106"
"19","-1","19","17","4","0","1","0","0","0","0","42","61","60","79","96","100","73","2016-09-22 08:20:00","98"
"19","-1","19","17","4","0","0","1","0","0","0","42","61","60","79","96","100","73","2016-09-22 08:40:00","111"
"19","-1","19","17","4","0","0","0","1","0","0","42","61","60","79","96","100","73","2016-09-22 09:00:00","123"
"19","-1","19","17","4","0","0","0","0","1","0","42","61","60","79","96","100","73","2016-09-22 09:20:00","107"
"19","-1","19","17","4","0","0","0","0","0","1","42","61","60","79","96","100","73","2016-09-22 09:40:00","110"
"25","-26","13","2","9","1","0","0","0","0","0","90","115","89","102","104","113","102","2016-09-22 17:00:00","114"
"25","-26","13","2","9","0","1","0","0","0","0","90","115","89","102","104","113","102","2016-09-22 17:20:00","102"
"25","-26","13","2","9","0","0","1","0","0","0","90","115","89","102","104","113","102","2016-09-22 17:40:00","113"
"25","-26","13","2","9","0","0","0","1","0","0","90","115","89","102","104","113","102","2016-09-22 18:00:00","81"
"25","-26","13","2","9","0","0","0","0","1","0","90","115","89","102","104","113","102","2016-09-22 18:20:00","83"
"25","-26","13","2","9","0","0","0","0","0","1","90","115","89","102","104","113","102","2016-09-22 18:40:00","88"
"41","0","23","14","-7","1","0","0","0","0","0","22","63","63","86","100","93","71","2016-09-23 08:00:00","110"
"41","0","23","14","-7","0","1","0","0","0","0","22","63","63","86","100","93","71","2016-09-23 08:20:00","127"
"41","0","23","14","-7","0","0","1","0","0","0","22","63","63","86","100","93","71","2016-09-23 08:40:00","112"
"41","0","23","14","-7","0","0","0","1","0","0","22","63","63","86","100","93","71","2016-09-23 09:00:00","129"
"41","0","23","14","-7","0","0","0","0","1","0","22","63","63","86","100","93","71","2016-09-23 09:20:00","107"
"41","0","23","14","-7","0","0","0","0","0","1","22","63","63","86","100","93","71","2016-09-23 09:40:00","105"
"15","1","-4","2","1","1","0","0","0","0","0","98","113","114","110","112","113","110","2016-09-23 17:00:00","113"
"15","1","-4","2","1","0","1","0","0","0","0","98","113","114","110","112","113","110","2016-09-23 17:20:00","105"
"15","1","-4","2","1","0","0","1","0","0","0","98","113","114","110","112","113","110","2016-09-23 17:40:00","141"
"15","1","-4","2","1","0","0","0","1","0","0","98","113","114","110","112","113","110","2016-09-23 18:00:00","93"
"15","1","-4","2","1","0","0","0","0","1","0","98","113","114","110","112","113","110","2016-09-23 18:20:00","96"
"15","1","-4","2","1","0","0","0","0","0","1","98","113","114","110","112","113","110","2016-09-23 18:40:00","108"
"21","5","11","0","32","1","0","0","0","0","0","37","58","63","74","74","106","68","2016-09-24 08:00:00","95"
"21","5","11","0","32","0","1","0","0","0","0","37","58","63","74","74","106","68","2016-09-24 08:20:00","101"
"21","5","11","0","32","0","0","1","0","0","0","37","58","63","74","74","106","68","2016-09-24 08:40:00","102"
"21","5","11","0","32","0","0","0","1","0","0","37","58","63","74","74","106","68","2016-09-24 09:00:00","82"
"21","5","11","0","32","0","0","0","0","1","0","37","58","63","74","74","106","68","2016-09-24 09:20:00","86"
"21","5","11","0","32","0","0","0","0","0","1","37","58","63","74","74","106","68","2016-09-24 09:40:00","78"
"15","-6","-11","-9","6","1","0","0","0","0","0","95","110","104","93","84","90","96","2016-09-24 17:00:00","94"
"15","-6","-11","-9","6","0","1","0","0","0","0","95","110","104","93","84","90","96","2016-09-24 17:20:00","85"
"15","-6","-11","-9","6","0","0","1","0","0","0","95","110","104","93","84","90","96","2016-09-24 17:40:00","105"
"15","-6","-11","-9","6","0","0","0","1","0","0","95","110","104","93","84","90","96","2016-09-24 18:00:00","78"
"15","-6","-11","-9","6","0","0","0","0","1","0","95","110","104","93","84","90","96","2016-09-24 18:20:00","75"
"15","-6","-11","-9","6","0","0","0","0","0","1","95","110","104","93","84","90","96","2016-09-24 18:40:00","59"
"6","13","5","16","-16","1","0","0","0","0","0","41","47","60","65","81","65","59","2016-09-25 08:00:00","98"
"6","13","5","16","-16","0","1","0","0","0","0","41","47","60","65","81","65","59","2016-09-25 08:20:00","96"
"6","13","5","16","-16","0","0","1","0","0","0","41","47","60","65","81","65","59","2016-09-25 08:40:00","105"
"6","13","5","16","-16","0","0","0","1","0","0","41","47","60","65","81","65","59","2016-09-25 09:00:00","108"
"6","13","5","16","-16","0","0","0","0","1","0","41","47","60","65","81","65","59","2016-09-25 09:20:00","103"
"6","13","5","16","-16","0","0","0","0","0","1","41","47","60","65","81","65","59","2016-09-25 09:40:00","95"
"19","8","-27","22","12","1","0","0","0","0","0","86","105","113","86","108","120","103","2016-09-25 17:00:00","105"
"19","8","-27","22","12","0","1","0","0","0","0","86","105","113","86","108","120","103","2016-09-25 17:20:00","104"
"19","8","-27","22","12","0","0","1","0","0","0","86","105","113","86","108","120","103","2016-09-25 17:40:00","84"
"19","8","-27","22","12","0","0","0","1","0","0","86","105","113","86","108","120","103","2016-09-25 18:00:00","69"
"19","8","-27","22","12","0","0","0","0","1","0","86","105","113","86","108","120","103","2016-09-25 18:20:00","61"
"19","8","-27","22","12","0","0","0","0","0","1","86","105","113","86","108","120","103","2016-09-25 18:40:00","62"
"30","5","25","29","-4","1","0","0","0","0","0","31","61","66","91","120","116","80","2016-09-26 08:00:00","125"
"30","5","25","29","-4","0","1","0","0","0","0","31","61","66","91","120","116","80","2016-09-26 08:20:00","91"
"30","5","25","29","-4","0","0","1","0","0","0","31","61","66","91","120","116","80","2016-09-26 08:40:00","116"
"30","5","25","29","-4","0","0","0","1","0","0","31","61","66","91","120","116","80","2016-09-26 09:00:00","120"
"30","5","25","29","-4","0","0","0","0","1","0","31","61","66","91","120","116","80","2016-09-26 09:20:00","130"
"30","5","25","29","-4","0","0","0","0","0","1","31","61","66","91","120","116","80","2016-09-26 09:40:00","102"
"16","-25","23","6","-9","1","0","0","0","0","0","92","108","83","106","112","103","100","2016-09-26 17:00:00","106"
"16","-25","23","6","-9","0","1","0","0","0","0","92","108","83","106","112","103","100","2016-09-26 17:20:00","112"
"16","-25","23","6","-9","0","0","1","0","0","0","92","108","83","106","112","103","100","2016-09-26 17:40:00","102"
"16","-25","23","6","-9","0","0","0","1","0","0","92","108","83","106","112","103","100","2016-09-26 18:00:00","74"
"16","-25","23","6","-9","0","0","0","0","1","0","92","108","83","106","112","103","100","2016-09-26 18:20:00","85"
"16","-25","23","6","-9","0","0","0","0","0","1","92","108","83","106","112","103","100","2016-09-26 18:40:00","54"
"18","16","-5","24","15","1","0","0","0","0","0","45","63","79","74","98","113","78","2016-09-27 08:00:00","118"
"18","16","-5","24","15","0","1","0","0","0","0","45","63","79","74","98","113","78","2016-09-27 08:20:00","116"
"18","16","-5","24","15","0","0","1","0","0","0","45","63","79","74","98","113","78","2016-09-27 08:40:00","125"
"18","16","-5","24","15","0","0","0","1","0","0","45","63","79","74","98","113","78","2016-09-27 09:00:00","129"
"18","16","-5","24","15","0","0","0","0","1","0","45","63","79","74","98","113","78","2016-09-27 09:20:00","97"
"18","16","-5","24","15","0","0","0","0","0","1","45","63","79","74","98","113","78","2016-09-27 09:40:00","73"
"-21","16","-33","18","22","1","0","0","0","0","0","117","96","112","79","97","119","103","2016-09-27 17:00:00","94"
"-21","16","-33","18","22","0","1","0","0","0","0","117","96","112","79","97","119","103","2016-09-27 17:20:00","142"
"-21","16","-33","18","22","0","0","1","0","0","0","117","96","112","79","97","119","103","2016-09-27 17:40:00","110"
"-21","16","-33","18","22","0","0","0","1","0","0","117","96","112","79","97","119","103","2016-09-27 18:00:00","76"
"-21","16","-33","18","22","0","0","0","0","1","0","117","96","112","79","97","119","103","2016-09-27 18:20:00","85"
"-21","16","-33","18","22","0","0","0","0","0","1","117","96","112","79","97","119","103","2016-09-27 18:40:00","64"
"27","-10","27","-10","39","1","0","0","0","0","0","35","62","52","79","69","108","67","2016-09-28 08:00:00","95"
"27","-10","27","-10","39","0","1","0","0","0","0","35","62","52","79","69","108","67","2016-09-28 08:20:00","105"
"27","-10","27","-10","39","0","0","1","0","0","0","35","62","52","79","69","108","67","2016-09-28 08:40:00","118"
"27","-10","27","-10","39","0","0","0","1","0","0","35","62","52","79","69","108","67","2016-09-28 09:00:00","94"
"27","-10","27","-10","39","0","0","0","0","1","0","35","62","52","79","69","108","67","2016-09-28 09:20:00","109"
"27","-10","27","-10","39","0","0","0","0","0","1","35","62","52","79","69","108","67","2016-09-28 09:40:00","103"
"7","-14","17","-35","13","1","0","0","0","0","0","90","97","83","100","65","78","85","2016-09-28 17:00:00","86"
"7","-14","17","-35","13","0","1","0","0","0","0","90","97","83","100","65","78","85","2016-09-28 17:20:00","113"
"7","-14","17","-35","13","0","0","1","0","0","0","90","97","83","100","65","78","85","2016-09-28 17:40:00","112"
"7","-14","17","-35","13","0","0","0","1","0","0","90","97","83","100","65","78","85","2016-09-28 18:00:00","80"
"7","-14","17","-35","13","0","0","0","0","1","0","90","97","83","100","65","78","85","2016-09-28 18:20:00","69"
"7","-14","17","-35","13","0","0","0","0","0","1","90","97","83","100","65","78","85","2016-09-28 18:40:00","64"
"4","18","-6","10","25","1","0","0","0","0","0","32","36","54","48","58","83","51","2016-09-29 08:00:00","97"
"4","18","-6","10","25","0","1","0","0","0","0","32","36","54","48","58","83","51","2016-09-29 08:20:00","102"
"4","18","-6","10","25","0","0","1","0","0","0","32","36","54","48","58","83","51","2016-09-29 08:40:00","122"
"4","18","-6","10","25","0","0","0","1","0","0","32","36","54","48","58","83","51","2016-09-29 09:00:00","97"
"4","18","-6","10","25","0","0","0","0","1","0","32","36","54","48","58","83","51","2016-09-29 09:20:00","113"
"4","18","-6","10","25","0","0","0","0","0","1","32","36","54","48","58","83","51","2016-09-29 09:40:00","83"
"-25","41","-27","36","-22","1","0","0","0","0","0","78","53","94","67","103","81","79","2016-09-29 17:00:00","94"
"-25","41","-27","36","-22","0","1","0","0","0","0","78","53","94","67","103","81","79","2016-09-29 17:20:00","91"
"-25","41","-27","36","-22","0","0","1","0","0","0","78","53","94","67","103","81","79","2016-09-29 17:40:00","130"
"-25","41","-27","36","-22","0","0","0","1","0","0","78","53","94","67","103","81","79","2016-09-29 18:00:00","77"
"-25","41","-27","36","-22","0","0","0","0","1","0","78","53","94","67","103","81","79","2016-09-29 18:20:00","70"
"-25","41","-27","36","-22","0","0","0","0","0","1","78","53","94","67","103","81","79","2016-09-29 18:40:00","87"
"5","10","7","37","-9","1","0","0","0","0","0","45","50","60","67","104","95","70","2016-09-30 08:00:00","126"
"5","10","7","37","-9","0","1","0","0","0","0","45","50","60","67","104","95","70","2016-09-30 08:20:00","112"
"5","10","7","37","-9","0","0","1","0","0","0","45","50","60","67","104","95","70","2016-09-30 08:40:00","141"
"5","10","7","37","-9","0","0","0","1","0","0","45","50","60","67","104","95","70","2016-09-30 09:00:00","132"
"5","10","7","37","-9","0","0","0","0","1","0","45","50","60","67","104","95","70","2016-09-30 09:20:00","134"
"5","10","7","37","-9","0","0","0","0","0","1","45","50","60","67","104","95","70","2016-09-30 09:40:00","97"
"-18","-19","-14","47","-8","1","0","0","0","0","0","114","96","77","63","110","102","93","2016-09-30 17:00:00","67"
"-18","-19","-14","47","-8","0","1","0","0","0","0","114","96","77","63","110","102","93","2016-09-30 17:20:00","86"
"-18","-19","-14","47","-8","0","0","1","0","0","0","114","96","77","63","110","102","93","2016-09-30 17:40:00","93"
"-18","-19","-14","47","-8","0","0","0","1","0","0","114","96","77","63","110","102","93","2016-09-30 18:00:00","17"
"-18","-19","-14","47","-8","0","0","0","0","1","0","114","96","77","63","110","102","93","2016-09-30 18:20:00","19"
"-18","-19","-14","47","-8","0","0","0","0","0","1","114","96","77","63","110","102","93","2016-09-30 18:40:00","39"
"13","-17","15","-10","3","1","0","0","0","0","0","6","19","2","17","7","10","10","2016-10-01 08:00:00","5"
"13","-17","15","-10","3","0","1","0","0","0","0","6","19","2","17","7","10","10","2016-10-01 08:20:00","11"
"13","-17","15","-10","3","0","0","1","0","0","0","6","19","2","17","7","10","10","2016-10-01 08:40:00","15"
"13","-17","15","-10","3","0","0","0","1","0","0","6","19","2","17","7","10","10","2016-10-01 09:00:00","21"
"13","-17","15","-10","3","0","0","0","0","1","0","6","19","2","17","7","10","10","2016-10-01 09:20:00","22"
"13","-17","15","-10","3","0","0","0","0","0","1","6","19","2","17","7","10","10","2016-10-01 09:40:00","9"
"6","3","-5","2","-2","1","0","0","0","0","0","5","11","14","9","11","9","9","2016-10-01 17:00:00","12"
"6","3","-5","2","-2","0","1","0","0","0","0","5","11","14","9","11","9","9","2016-10-01 17:20:00","14"
"6","3","-5","2","-2","0","0","1","0","0","0","5","11","14","9","11","9","9","2016-10-01 17:40:00","4"
"6","3","-5","2","-2","0","0","0","1","0","0","5","11","14","9","11","9","9","2016-10-01 18:00:00","8"
"6","3","-5","2","-2","0","0","0","0","1","0","5","11","14","9","11","9","9","2016-10-01 18:20:00","5"
"6","3","-5","2","-2","0","0","0","0","0","1","5","11","14","9","11","9","9","2016-10-01 18:40:00","11"
"20","-13","1","1","2","1","0","0","0","0","0","10","30","17","18","19","21","19","2016-10-02 08:00:00","19"
"20","-13","1","1","2","0","1","0","0","0","0","10","30","17","18","19","21","19","2016-10-02 08:20:00","13"
"20","-13","1","1","2","0","0","1","0","0","0","10","30","17","18","19","21","19","2016-10-02 08:40:00","6"
"20","-13","1","1","2","0","0","0","1","0","0","10","30","17","18","19","21","19","2016-10-02 09:00:00","14"
"20","-13","1","1","2","0","0","0","0","1","0","10","30","17","18","19","21","19","2016-10-02 09:20:00","9"
"20","-13","1","1","2","0","0","0","0","0","1","10","30","17","18","19","21","19","2016-10-02 09:40:00","8"
"3","4","-6","-2","4","1","0","0","0","0","0","11","14","18","12","10","14","13","2016-10-02 17:00:00","5"
"3","4","-6","-2","4","0","1","0","0","0","0","11","14","18","12","10","14","13","2016-10-02 17:20:00","18"
"3","4","-6","-2","4","0","0","1","0","0","0","11","14","18","12","10","14","13","2016-10-02 17:40:00","16"
"3","4","-6","-2","4","0","0","0","1","0","0","11","14","18","12","10","14","13","2016-10-02 18:00:00","14"
"3","4","-6","-2","4","0","0","0","0","1","0","11","14","18","12","10","14","13","2016-10-02 18:20:00","11"
"3","4","-6","-2","4","0","0","0","0","0","1","11","14","18","12","10","14","13","2016-10-02 18:40:00","9"
"1","5","-3","0","-6","1","0","0","0","0","0","15","16","21","18","18","12","16","2016-10-03 08:00:00","15"
"1","5","-3","0","-6","0","1","0","0","0","0","15","16","21","18","18","12","16","2016-10-03 08:20:00","21"
"1","5","-3","0","-6","0","0","1","0","0","0","15","16","21","18","18","12","16","2016-10-03 08:40:00","15"
"1","5","-3","0","-6","0","0","0","1","0","0","15","16","21","18","18","12","16","2016-10-03 09:00:00","13"
"1","5","-3","0","-6","0","0","0","0","1","0","15","16","21","18","18","12","16","2016-10-03 09:20:00","17"
"1","5","-3","0","-6","0","0","0","0","0","1","15","16","21","18","18","12","16","2016-10-03 09:40:00","20"
"-6","-9","3","11","-9","1","0","0","0","0","0","23","17","8","11","22","13","15","2016-10-03 17:00:00","11"
"-6","-9","3","11","-9","0","1","0","0","0","0","23","17","8","11","22","13","15","2016-10-03 17:20:00","15"
"-6","-9","3","11","-9","0","0","1","0","0","0","23","17","8","11","22","13","15","2016-10-03 17:40:00","10"
"-6","-9","3","11","-9","0","0","0","1","0","0","23","17","8","11","22","13","15","2016-10-03 18:00:00","7"
"-6","-9","3","11","-9","0","0","0","0","1","0","23","17","8","11","22","13","15","2016-10-03 18:20:00","10"
"-6","-9","3","11","-9","0","0","0","0","0","1","23","17","8","11","22","13","15","2016-10-03 18:40:00","11"
"12","3","-6","3","-4","1","0","0","0","0","0","12","24","27","21","24","20","21","2016-10-04 08:00:00","26"
"12","3","-6","3","-4","0","1","0","0","0","0","12","24","27","21","24","20","21","2016-10-04 08:20:00","20"
"12","3","-6","3","-4","0","0","1","0","0","0","12","24","27","21","24","20","21","2016-10-04 08:40:00","23"
"12","3","-6","3","-4","0","0","0","1","0","0","12","24","27","21","24","20","21","2016-10-04 09:00:00","26"
"12","3","-6","3","-4","0","0","0","0","1","0","12","24","27","21","24","20","21","2016-10-04 09:20:00","20"
"12","3","-6","3","-4","0","0","0","0","0","1","12","24","27","21","24","20","21","2016-10-04 09:40:00","23"
"-3","6","-1","-9","3","1","0","0","0","0","0","23","20","26","25","16","19","21","2016-10-04 17:00:00","12"
"-3","6","-1","-9","3","0","1","0","0","0","0","23","20","26","25","16","19","21","2016-10-04 17:20:00","18"
"-3","6","-1","-9","3","0","0","1","0","0","0","23","20","26","25","16","19","21","2016-10-04 17:40:00","14"
"-3","6","-1","-9","3","0","0","0","1","0","0","23","20","26","25","16","19","21","2016-10-04 18:00:00","14"
"-3","6","-1","-9","3","0","0","0","0","1","0","23","20","26","25","16","19","21","2016-10-04 18:20:00","11"
"-3","6","-1","-9","3","0","0","0","0","0","1","23","20","26","25","16","19","21","2016-10-04 18:40:00","11"
"10","-2","-3","-3","2","1","0","0","0","0","0","18","28","26","23","20","22","22","2016-10-05 08:00:00","16"
"10","-2","-3","-3","2","0","1","0","0","0","0","18","28","26","23","20","22","22","2016-10-05 08:20:00","22"
"10","-2","-3","-3","2","0","0","1","0","0","0","18","28","26","23","20","22","22","2016-10-05 08:40:00","24"
"10","-2","-3","-3","2","0","0","0","1","0","0","18","28","26","23","20","22","22","2016-10-05 09:00:00","15"
"10","-2","-3","-3","2","0","0","0","0","1","0","18","28","26","23","20","22","22","2016-10-05 09:20:00","29"
"10","-2","-3","-3","2","0","0","0","0","0","1","18","28","26","23","20","22","22","2016-10-05 09:40:00","29"
"-7","4","-3","-1","2","1","0","0","0","0","0","24","17","21","18","17","19","19","2016-10-05 17:00:00","10"
"-7","4","-3","-1","2","0","1","0","0","0","0","24","17","21","18","17","19","19","2016-10-05 17:20:00","16"
"-7","4","-3","-1","2","0","0","1","0","0","0","24","17","21","18","17","19","19","2016-10-05 17:40:00","17"
"-7","4","-3","-1","2","0","0","0","1","0","0","24","17","21","18","17","19","19","2016-10-05 18:00:00","12"
"-7","4","-3","-1","2","0","0","0","0","1","0","24","17","21","18","17","19","19","2016-10-05 18:20:00","18"
"-7","4","-3","-1","2","0","0","0","0","0","1","24","17","21","18","17","19","19","2016-10-05 18:40:00","10"
"-1","12","-20","7","-3","1","0","0","0","0","0","23","22","34","14","21","18","22","2016-10-06 08:00:00","18"
"-1","12","-20","7","-3","0","1","0","0","0","0","23","22","34","14","21","18","22","2016-10-06 08:20:00","21"
"-1","12","-20","7","-3","0","0","1","0","0","0","23","22","34","14","21","18","22","2016-10-06 08:40:00","14"
"-1","12","-20","7","-3","0","0","0","1","0","0","23","22","34","14","21","18","22","2016-10-06 09:00:00","20"
"-1","12","-20","7","-3","0","0","0","0","1","0","23","22","34","14","21","18","22","2016-10-06 09:20:00","27"
"-1","12","-20","7","-3","0","0","0","0","0","1","23","22","34","14","21","18","22","2016-10-06 09:40:00","23"
"10","0","4","-3","-8","1","0","0","0","0","0","12","22","22","26","23","15","20","2016-10-06 17:00:00","12"
"10","0","4","-3","-8","0","1","0","0","0","0","12","22","22","26","23","15","20","2016-10-06 17:20:00","16"
"10","0","4","-3","-8","0","0","1","0","0","0","12","22","22","26","23","15","20","2016-10-06 17:40:00","19"
"10","0","4","-3","-8","0","0","0","1","0","0","12","22","22","26","23","15","20","2016-10-06 18:00:00","15"
"10","0","4","-3","-8","0","0","0","0","1","0","12","22","22","26","23","15","20","2016-10-06 18:20:00","10"
"10","0","4","-3","-8","0","0","0","0","0","1","12","22","22","26","23","15","20","2016-10-06 18:40:00","17"
"6","9","-6","-8","12","1","0","0","0","0","0","17","23","32","26","18","30","24","2016-10-07 08:00:00","23"
"6","9","-6","-8","12","0","1","0","0","0","0","17","23","32","26","18","30","24","2016-10-07 08:20:00","18"
"6","9","-6","-8","12","0","0","1","0","0","0","17","23","32","26","18","30","24","2016-10-07 08:40:00","19"
"6","9","-6","-8","12","0","0","0","1","0","0","17","23","32","26","18","30","24","2016-10-07 09:00:00","21"
"6","9","-6","-8","12","0","0","0","0","1","0","17","23","32","26","18","30","24","2016-10-07 09:20:00","28"
"6","9","-6","-8","12","0","0","0","0","0","1","17","23","32","26","18","30","24","2016-10-07 09:40:00","23"
"-2","11","-13","-1","-2","1","0","0","0","0","0","23","21","32","19","18","16","21","2016-10-07 17:00:00","15"
"-2","11","-13","-1","-2","0","1","0","0","0","0","23","21","32","19","18","16","21","2016-10-07 17:20:00","23"
"-2","11","-13","-1","-2","0","0","1","0","0","0","23","21","32","19","18","16","21","2016-10-07 17:40:00","18"
"-2","11","-13","-1","-2","0","0","0","1","0","0","23","21","32","19","18","16","21","2016-10-07 18:00:00","15"
"-2","11","-13","-1","-2","0","0","0","0","1","0","23","21","32","19","18","16","21","2016-10-07 18:20:00","18"
"-2","11","-13","-1","-2","0","0","0","0","0","1","23","21","32","19","18","16","21","2016-10-07 18:40:00","10"
"8","29","-1","23","5","1","0","0","0","0","0","30","38","67","66","89","94","64","2016-10-08 08:00:00","96"
"8","29","-1","23","5","0","1","0","0","0","0","30","38","67","66","89","94","64","2016-10-08 08:20:00","117"
"8","29","-1","23","5","0","0","1","0","0","0","30","38","67","66","89","94","64","2016-10-08 08:40:00","82"
"8","29","-1","23","5","0","0","0","1","0","0","30","38","67","66","89","94","64","2016-10-08 09:00:00","113"
"8","29","-1","23","5","0","0","0","0","1","0","30","38","67","66","89","94","64","2016-10-08 09:20:00","73"
"8","29","-1","23","5","0","0","0","0","0","1","30","38","67","66","89","94","64","2016-10-08 09:40:00","130"
"3","5","-4","-14","1","1","0","0","0","0","0","91","94","99","95","81","82","90","2016-10-08 17:00:00","92"
"3","5","-4","-14","1","0","1","0","0","0","0","91","94","99","95","81","82","90","2016-10-08 17:20:00","109"
"3","5","-4","-14","1","0","0","1","0","0","0","91","94","99","95","81","82","90","2016-10-08 17:40:00","104"
"3","5","-4","-14","1","0","0","0","1","0","0","91","94","99","95","81","82","90","2016-10-08 18:00:00","84"
"3","5","-4","-14","1","0","0","0","0","1","0","91","94","99","95","81","82","90","2016-10-08 18:20:00","70"
"3","5","-4","-14","1","0","0","0","0","0","1","91","94","99","95","81","82","90","2016-10-08 18:40:00","61"
"8","12","13","15","12","1","0","0","0","0","0","33","41","53","66","81","93","61","2016-10-09 08:00:00","117"
"8","12","13","15","12","0","1","0","0","0","0","33","41","53","66","81","93","61","2016-10-09 08:20:00","121"
"8","12","13","15","12","0","0","1","0","0","0","33","41","53","66","81","93","61","2016-10-09 08:40:00","103"
"8","12","13","15","12","0","0","0","1","0","0","33","41","53","66","81","93","61","2016-10-09 09:00:00","127"
"8","12","13","15","12","0","0","0","0","1","0","33","41","53","66","81","93","61","2016-10-09 09:20:00","93"
"8","12","13","15","12","0","0","0","0","0","1","33","41","53","66","81","93","61","2016-10-09 09:40:00","75"
"6","17","-27","20","13","1","0","0","0","0","0","84","90","107","80","100","113","95","2016-10-09 17:00:00","127"
"6","17","-27","20","13","0","1","0","0","0","0","84","90","107","80","100","113","95","2016-10-09 17:20:00","110"
"6","17","-27","20","13","0","0","1","0","0","0","84","90","107","80","100","113","95","2016-10-09 17:40:00","105"
"6","17","-27","20","13","0","0","0","1","0","0","84","90","107","80","100","113","95","2016-10-09 18:00:00","56"
"6","17","-27","20","13","0","0","0","0","1","0","84","90","107","80","100","113","95","2016-10-09 18:20:00","80"
