time,entry_dir,no_etc,use_etc,pre_3min_dir,pre_3min_etc,pre_3min_no_etc,pre_5min_dir,pre_5min_etc,pre_5min_no_etc,pre_7min_dir,pre_7min_etc,pre_7min_no_etc,pre_10min_dir,pre_10min_etc,pre_10min_no_etc,etc_rate
2016/9/19 14:40,52,38,14,6,0,6,10,0,10,13,0,13,23,3,20,0.730769231
2016/9/19 15:00,48,33,15,8,2,6,11,4,7,20,5,15,25,5,20,0.6875
2016/9/19 15:20,57,49,8,4,0,4,8,1,7,11,3,8,16,5,11,0.859649123
2016/9/19 15:40,43,33,10,9,0,9,14,2,12,20,2,18,31,4,27,0.76744186
2016/9/19 16:00,42,31,11,10,0,10,13,1,12,17,1,16,23,2,21,0.738095238
2016/9/19 16:20,46,35,11,5,1,4,14,3,11,16,3,13,21,4,17,0.760869565
2016/9/19 16:40,55,36,19,6,2,4,11,3,8,15,6,9,21,6,15,0.654545455
2016/9/19 17:00,36,29,7,5,2,3,17,8,9,25,10,15,35,15,20,0.805555556
2016/9/19 17:20,34,26,8,5,0,5,10,1,9,14,2,12,22,5,17,0.764705882
2016/9/19 17:40,24,16,8,6,1,5,12,2,10,14,2,12,19,4,15,0.666666667
2016/9/19 18:00,29,18,11,5,2,3,5,2,3,7,2,5,14,4,10,0.620689655
2016/9/19 18:20,27,22,5,5,2,3,8,2,6,11,3,8,16,6,10,0.814814815
2016/9/19 18:40,18,17,1,2,0,2,6,2,4,8,3,5,12,4,8,0.944444444
2016/9/19 19:00,13,9,4,1,0,1,3,0,3,4,0,4,7,0,7,0.692307692
2016/9/19 19:20,22,17,5,0,0,0,0,0,0,0,0,0,3,1,2,0.772727273
2016/9/19 19:40,27,21,6,8,1,7,9,2,7,10,2,8,12,3,9,0.777777778
2016/9/19 20:00,17,11,6,1,0,1,3,0,3,7,1,6,10,2,8,0.647058824
2016/9/19 20:20,16,12,4,1,0,1,1,0,1,2,0,2,8,0,8,0.75
2016/9/19 20:40,17,13,4,1,0,1,2,1,1,2,1,1,3,2,1,0.764705882
2016/9/19 21:00,17,13,4,3,1,2,3,1,2,4,1,3,9,2,7,0.764705882
2016/9/19 21:20,22,13,9,0,0,0,2,0,2,4,2,2,6,2,4,0.590909091
2016/9/19 21:40,5,4,1,7,2,5,7,2,5,9,3,6,12,5,7,0.8
2016/9/19 22:00,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2016/9/19 22:20,9,7,2,0,0,0,0,0,0,1,0,1,1,0,1,0.777777778
2016/9/19 22:40,3,1,2,2,0,2,2,0,2,5,2,3,7,2,5,0.333333333
2016/9/19 23:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/9/19 23:20,7,6,1,1,1,0,1,1,0,1,1,0,1,1,0,0.857142857
2016/9/19 23:40,6,4,2,2,0,2,2,0,2,2,0,2,6,1,5,0.666666667
2016/9/20 0:00,14,13,1,0,0,0,1,0,1,2,0,2,2,0,2,0.928571429
2016/9/20 0:20,13,13,0,2,0,2,3,0,3,3,0,3,5,0,5,1
2016/9/20 0:40,7,6,1,3,0,3,4,0,4,7,0,7,7,0,7,0.857142857
2016/9/20 1:00,6,4,2,1,0,1,2,1,1,2,1,1,4,1,3,0.666666667
2016/9/20 1:20,5,4,1,2,1,1,2,1,1,3,1,2,3,1,2,0.8
2016/9/20 1:40,5,4,1,1,0,1,1,0,1,1,0,1,2,0,2,0.8
2016/9/20 2:00,6,6,0,1,0,1,4,1,3,4,1,3,4,1,3,1
2016/9/20 2:20,9,7,2,1,0,1,3,0,3,3,0,3,3,0,3,0.777777778
2016/9/20 2:40,7,7,0,0,0,0,2,0,2,3,0,3,3,0,3,1
2016/9/20 3:00,10,10,0,0,0,0,1,0,1,2,0,2,3,0,3,1
2016/9/20 3:20,8,8,0,1,0,1,3,0,3,3,0,3,5,0,5,1
2016/9/20 3:40,5,5,0,2,0,2,4,0,4,4,0,4,5,0,5,1
2016/9/20 4:00,11,11,0,3,0,3,3,0,3,3,0,3,4,0,4,1
2016/9/20 4:20,8,7,1,1,0,1,1,0,1,3,0,3,5,0,5,0.875
2016/9/20 4:40,15,14,1,3,1,2,3,1,2,4,1,3,4,1,3,0.933333333
2016/9/20 5:00,9,8,1,3,0,3,7,0,7,9,0,9,11,1,10,0.888888889
2016/9/20 5:20,4,4,0,0,0,0,1,0,1,2,0,2,2,0,2,1
2016/9/20 5:40,10,8,2,2,0,2,2,0,2,2,0,2,2,0,2,0.8
2016/9/20 6:00,13,9,4,0,0,0,1,0,1,2,0,2,5,0,5,0.692307692
2016/9/20 6:20,20,16,4,2,1,1,5,2,3,6,3,3,7,3,4,0.8
2016/9/20 6:40,29,21,8,3,1,2,3,1,2,8,3,5,10,3,7,0.724137931
2016/9/20 7:00,38,24,14,4,1,3,7,3,4,14,5,9,21,5,16,0.631578947
2016/9/20 7:20,30,23,7,4,2,2,13,3,10,16,4,12,23,7,16,0.766666667
2016/9/20 7:40,31,22,9,7,1,6,9,1,8,13,2,11,18,2,16,0.709677419
2016/9/20 8:00,53,32,21,5,2,3,6,2,4,12,4,8,17,4,13,0.603773585
2016/9/20 8:20,50,29,21,7,3,4,11,5,6,13,6,7,22,12,10,0.58
2016/9/20 8:40,45,30,15,6,2,4,11,4,7,21,7,14,29,13,16,0.666666667
2016/9/20 9:00,51,38,13,3,2,1,8,4,4,18,7,11,24,11,13,0.745098039
2016/9/20 9:20,68,47,21,6,1,5,7,1,6,13,2,11,19,3,16,0.691176471
2016/9/20 9:40,59,45,14,11,4,7,18,6,12,21,6,15,32,10,22,0.762711864
2016/9/20 10:00,56,46,10,7,2,5,12,4,8,17,4,13,23,4,19,0.821428571
2016/9/20 10:20,60,46,14,8,3,5,14,3,11,18,3,15,27,3,24,0.766666667
2016/9/20 10:40,63,51,12,4,1,3,11,5,6,13,5,8,20,6,14,0.80952381
2016/9/20 11:00,57,41,16,11,1,10,19,3,16,26,4,22,39,6,33,0.719298246
2016/9/20 11:20,64,47,17,10,3,7,15,5,10,18,6,12,24,8,16,0.734375
2016/9/20 11:40,50,43,7,8,2,6,11,3,8,17,3,14,32,8,24,0.86
2016/9/20 12:00,53,36,17,8,0,8,14,1,13,20,2,18,27,2,25,0.679245283
2016/9/20 12:20,62,41,21,11,3,8,15,5,10,21,9,12,31,12,19,0.661290323
2016/9/20 12:40,75,55,20,14,2,12,19,3,16,22,5,17,35,11,24,0.733333333
2016/9/20 13:00,98,75,23,16,2,14,19,3,16,27,8,19,40,10,30,0.765306122
2016/9/20 13:20,82,57,25,16,4,12,25,5,20,36,9,27,50,12,38,0.695121951
2016/9/20 13:40,84,62,22,15,4,11,20,4,16,25,5,20,37,9,28,0.738095238
2016/9/20 14:00,81,67,14,14,1,13,17,1,16,28,5,23,43,8,35,0.827160494
2016/9/20 14:20,90,71,19,14,1,13,22,1,21,31,3,28,45,7,38,0.788888889
2016/9/20 14:40,67,56,11,16,4,12,27,7,20,37,7,30,48,9,39,0.835820896
2016/9/20 15:00,71,55,16,9,1,8,16,2,14,21,3,18,33,4,29,0.774647887
2016/9/20 15:20,64,49,15,11,4,7,19,5,14,29,7,22,39,8,31,0.765625
2016/9/20 15:40,73,59,14,12,3,9,18,5,13,24,7,17,31,8,23,0.808219178
2016/9/20 16:00,48,31,17,10,1,9,14,1,13,20,1,19,38,6,32,0.645833333
2016/9/20 16:20,57,43,14,8,4,4,10,5,5,13,5,8,16,6,10,0.754385965
2016/9/20 16:40,48,34,14,13,3,10,18,3,15,21,4,17,28,4,24,0.708333333
2016/9/20 17:00,38,29,9,7,1,6,12,3,9,16,3,13,24,5,19,0.763157895
2016/9/20 17:20,42,28,14,4,0,4,8,1,7,14,2,12,21,5,16,0.666666667
2016/9/20 17:40,38,23,15,6,2,4,14,4,10,18,5,13,25,8,17,0.605263158
2016/9/20 18:00,26,22,4,5,4,1,6,5,1,8,5,3,18,7,11,0.846153846
2016/9/20 18:20,29,19,10,1,0,1,3,0,3,3,0,3,10,1,9,0.655172414
2016/9/20 18:40,20,14,6,1,0,1,4,2,2,7,3,4,11,3,8,0.7
2016/9/20 19:00,17,12,5,2,1,1,4,1,3,8,3,5,9,4,5,0.705882353
2016/9/20 19:20,29,19,10,4,1,3,5,2,3,5,2,3,6,2,4,0.655172414
2016/9/20 19:40,21,12,9,4,1,3,6,1,5,8,1,7,13,3,10,0.571428571
2016/9/20 20:00,12,8,4,2,0,2,6,2,4,6,2,4,13,5,8,0.666666667
2016/9/20 20:20,16,8,8,4,1,3,6,2,4,8,3,5,9,3,6,0.5
2016/9/20 20:40,16,12,4,5,3,2,6,3,3,9,5,4,9,5,4,0.75
2016/9/20 21:00,17,8,9,2,1,1,3,1,2,3,1,2,6,1,5,0.470588235
2016/9/20 21:20,29,26,3,2,1,1,4,1,3,4,1,3,6,2,4,0.896551724
2016/9/20 21:40,37,35,2,2,0,2,5,0,5,8,0,8,15,1,14,0.945945946
2016/9/20 22:00,30,25,5,7,0,7,9,0,9,11,0,11,20,0,20,0.833333333
2016/9/20 22:20,17,17,0,4,1,3,8,2,6,11,3,8,12,3,9,1
2016/9/20 22:40,19,18,1,2,0,2,4,0,4,5,0,5,7,0,7,0.947368421
2016/9/20 23:00,20,20,0,5,0,5,6,0,6,8,0,8,10,0,10,1
2016/9/20 23:20,7,5,2,1,0,1,3,0,3,5,0,5,7,0,7,0.714285714
2016/9/20 23:40,11,9,2,0,0,0,0,0,0,0,0,0,1,0,1,0.818181818
2016/9/21 0:00,12,11,1,2,0,2,3,0,3,8,1,7,9,1,8,0.916666667
2016/9/21 0:20,6,6,0,2,0,2,2,0,2,4,1,3,4,1,3,1
2016/9/21 0:40,7,5,2,2,0,2,3,0,3,3,0,3,3,0,3,0.714285714
2016/9/21 1:00,7,6,1,0,0,0,0,0,0,1,0,1,2,0,2,0.857142857
2016/9/21 1:20,4,1,3,0,0,0,1,0,1,2,0,2,3,1,2,0.25
2016/9/21 1:40,6,6,0,0,0,0,2,2,0,2,2,0,2,2,0,1
2016/9/21 2:00,6,6,0,1,0,1,1,0,1,2,0,2,3,0,3,1
2016/9/21 2:20,10,8,2,0,0,0,1,0,1,2,0,2,3,0,3,0.8
2016/9/21 2:40,6,6,0,3,0,3,4,1,3,4,1,3,5,1,4,1
2016/9/21 3:00,5,4,1,0,0,0,0,0,0,2,0,2,3,0,3,0.8
2016/9/21 3:20,6,6,0,2,1,1,2,1,1,3,1,2,3,1,2,1
2016/9/21 3:40,10,8,2,1,0,1,1,0,1,2,0,2,2,0,2,0.8
2016/9/21 4:00,16,15,1,1,0,1,1,0,1,4,2,2,6,2,4,0.9375
2016/9/21 4:20,14,14,0,0,0,0,2,0,2,5,0,5,7,0,7,1
2016/9/21 4:40,11,11,0,3,0,3,5,0,5,9,0,9,9,0,9,1
2016/9/21 5:00,10,9,1,2,0,2,3,0,3,6,0,6,6,0,6,0.9
2016/9/21 5:20,14,13,1,1,0,1,2,0,2,4,0,4,4,0,4,0.928571429
2016/9/21 5:40,28,27,1,2,0,2,3,1,2,5,1,4,8,1,7,0.964285714
2016/9/21 6:00,36,31,5,5,1,4,9,1,8,11,1,10,12,1,11,0.861111111
2016/9/21 6:20,41,38,3,3,1,2,6,2,4,11,4,7,17,5,12,0.926829268
2016/9/21 6:40,75,65,10,5,2,3,10,2,8,16,2,14,21,2,19,0.866666667
2016/9/21 7:00,78,68,10,13,3,10,18,3,15,25,4,21,36,5,31,0.871794872
2016/9/21 7:20,84,78,6,21,2,19,32,2,30,38,5,33,53,8,45,0.928571429
2016/9/21 7:40,95,78,17,12,0,12,20,0,20,29,1,28,46,3,43,0.821052632
2016/9/21 8:00,122,108,14,18,1,17,26,2,24,33,5,28,49,6,43,0.885245902
2016/9/21 8:20,126,118,8,24,4,20,34,4,30,44,5,39,59,7,52,0.936507937
2016/9/21 8:40,77,62,15,24,2,22,37,2,35,53,2,51,68,2,66,0.805194805
2016/9/21 9:00,49,36,13,11,2,9,14,2,12,22,5,17,28,7,21,0.734693878
2016/9/21 9:20,55,42,13,5,2,3,12,6,6,16,6,10,21,7,14,0.763636364
2016/9/21 9:40,53,47,6,6,1,5,11,4,7,15,5,10,24,7,17,0.886792453
2016/9/21 10:00,36,30,6,5,0,5,9,1,8,12,2,10,19,3,16,0.833333333
2016/9/21 10:20,57,46,11,4,1,3,5,1,4,8,1,7,12,1,11,0.807017544
2016/9/21 10:40,37,29,8,16,3,13,22,3,19,25,3,22,39,6,33,0.783783784
2016/9/21 11:00,32,26,6,4,2,2,6,2,4,8,2,6,12,5,7,0.8125
2016/9/21 11:20,27,21,6,2,0,2,4,1,3,10,2,8,15,4,11,0.777777778
2016/9/21 11:40,32,27,5,4,1,3,7,1,6,8,1,7,12,1,11,0.84375
2016/9/21 12:00,45,32,13,4,1,3,8,1,7,10,1,9,18,3,15,0.711111111
2016/9/21 12:20,42,26,16,8,4,4,12,4,8,19,6,13,21,6,15,0.619047619
2016/9/21 12:40,38,23,15,6,1,5,13,6,7,16,7,9,24,8,16,0.605263158
2016/9/21 13:00,44,35,9,4,2,2,9,5,4,16,7,9,21,10,11,0.795454545
2016/9/21 13:20,41,32,9,5,1,4,9,2,7,15,4,11,23,4,19,0.780487805
2016/9/21 13:40,51,37,14,7,0,7,10,0,10,13,2,11,17,2,15,0.725490196
2016/9/21 14:00,53,36,17,6,3,3,12,4,8,16,4,12,23,6,17,0.679245283
2016/9/21 14:20,43,33,10,3,0,3,10,2,8,16,6,10,22,9,13,0.76744186
2016/9/21 14:40,54,40,14,4,1,3,10,2,8,12,2,10,16,3,13,0.740740741
2016/9/21 15:00,48,39,9,8,1,7,13,2,11,19,4,15,27,6,21,0.8125
2016/9/21 15:20,46,33,13,5,1,4,7,1,6,12,2,10,19,4,15,0.717391304
2016/9/21 15:40,49,31,18,6,0,6,8,0,8,9,1,8,15,2,13,0.632653061
2016/9/21 16:00,46,34,12,10,4,6,14,5,9,17,6,11,25,10,15,0.739130435
2016/9/21 16:20,45,33,12,10,3,7,15,4,11,20,4,16,24,7,17,0.733333333
2016/9/21 16:40,46,32,14,4,1,3,13,2,11,16,4,12,22,5,17,0.695652174
2016/9/21 17:00,47,39,8,9,6,3,13,6,7,18,8,10,23,8,15,0.829787234
2016/9/21 17:20,35,23,12,11,2,9,13,2,11,17,2,15,23,3,20,0.657142857
2016/9/21 17:40,20,11,9,3,0,3,5,1,4,10,2,8,17,3,14,0.55
2016/9/21 18:00,20,14,6,2,1,1,5,1,4,5,1,4,10,3,7,0.7
2016/9/21 18:20,20,16,4,2,0,2,4,0,4,7,1,6,13,4,9,0.8
2016/9/21 18:40,24,16,8,2,0,2,2,0,2,3,0,3,7,1,6,0.666666667
2016/9/21 19:00,19,16,3,4,1,3,5,1,4,8,3,5,11,5,6,0.842105263
2016/9/21 19:20,19,13,6,2,0,2,7,1,6,9,1,8,11,1,10,0.684210526
2016/9/21 19:40,25,16,9,6,3,3,8,3,5,9,3,6,11,3,8,0.64
2016/9/21 20:00,20,13,7,5,4,1,6,4,2,7,5,2,13,6,7,0.65
2016/9/21 20:20,15,11,4,1,0,1,1,0,1,4,1,3,8,3,5,0.733333333
2016/9/21 20:40,30,25,5,0,0,0,4,3,1,8,4,4,10,4,6,0.833333333
2016/9/21 21:00,13,9,4,6,1,5,7,1,6,8,2,6,14,2,12,0.692307692
2016/9/21 21:20,18,15,3,4,1,3,5,1,4,5,1,4,6,2,4,0.833333333
2016/9/21 21:40,11,8,3,6,0,6,9,1,8,10,2,8,11,2,9,0.727272727
2016/9/21 22:00,11,7,4,0,0,0,1,0,1,2,0,2,4,1,3,0.636363636
2016/9/21 22:20,8,3,5,3,1,2,3,1,2,5,2,3,6,2,4,0.375
2016/9/21 22:40,7,5,2,0,0,0,0,0,0,1,1,0,3,3,0,0.714285714
2016/9/21 23:00,19,17,2,0,0,0,0,0,0,1,0,1,1,0,1,0.894736842
2016/9/21 23:20,13,13,0,8,1,7,10,1,9,12,2,10,12,2,10,1
2016/9/21 23:40,16,15,1,2,0,2,3,0,3,4,0,4,6,0,6,0.9375
2016/9/22 0:00,17,14,3,3,0,3,4,0,4,5,0,5,8,0,8,0.823529412
2016/9/22 0:20,5,4,1,3,0,3,5,1,4,8,1,7,9,2,7,0.8
2016/9/22 0:40,16,14,2,1,0,1,1,0,1,1,0,1,2,0,2,0.875
2016/9/22 1:00,6,6,0,5,1,4,5,1,4,7,1,6,8,1,7,1
2016/9/22 1:20,9,9,0,0,0,0,1,0,1,2,0,2,4,0,4,1
2016/9/22 1:40,12,11,1,0,0,0,1,0,1,2,0,2,4,0,4,0.916666667
2016/9/22 2:00,4,4,0,1,0,1,1,0,1,5,1,4,6,1,5,1
2016/9/22 2:20,8,7,1,1,0,1,1,0,1,1,0,1,3,0,3,0.875
2016/9/22 2:40,10,9,1,0,0,0,1,0,1,1,0,1,2,0,2,0.9
2016/9/22 3:00,7,6,1,3,0,3,4,1,3,5,1,4,5,1,4,0.857142857
2016/9/22 3:20,8,7,1,2,0,2,3,0,3,4,0,4,5,0,5,0.875
2016/9/22 3:40,6,5,1,1,0,1,1,0,1,2,0,2,4,0,4,0.833333333
2016/9/22 4:00,4,4,0,0,0,0,1,0,1,1,0,1,2,1,1,1
2016/9/22 4:20,10,9,1,3,0,3,3,0,3,3,0,3,3,0,3,0.9
2016/9/22 4:40,11,11,0,2,0,2,2,0,2,3,0,3,4,0,4,1
2016/9/22 5:00,5,5,0,0,0,0,0,0,0,2,0,2,6,0,6,1
2016/9/22 5:20,2,1,1,0,0,0,1,0,1,2,0,2,2,0,2,0.5
2016/9/22 5:40,3,2,1,1,0,1,1,0,1,1,0,1,1,0,1,0.666666667
2016/9/22 6:00,6,6,0,0,0,0,0,0,0,1,0,1,2,1,1,1
2016/9/22 6:20,10,8,2,4,0,4,5,0,5,5,0,5,5,0,5,0.8
2016/9/22 6:40,36,31,5,0,0,0,2,1,1,3,1,2,7,1,6,0.861111111
2016/9/22 7:00,28,23,5,10,3,7,11,3,8,14,3,11,17,3,14,0.821428571
2016/9/22 7:20,40,28,12,5,1,4,8,1,7,11,2,9,14,2,12,0.7
2016/9/22 7:40,34,21,13,7,3,4,11,3,8,15,4,11,22,6,16,0.617647059
2016/9/22 8:00,50,36,14,4,2,2,6,2,4,8,2,6,13,4,9,0.72
2016/9/22 8:20,58,43,15,8,3,5,12,4,8,14,4,10,24,6,18,0.74137931
2016/9/22 8:40,51,31,20,6,1,5,11,2,9,17,3,14,28,5,23,0.607843137
2016/9/22 9:00,43,30,13,6,0,6,11,3,8,17,7,10,25,8,17,0.697674419
2016/9/22 9:20,52,46,6,4,2,2,10,5,5,15,6,9,25,9,16,0.884615385
2016/9/22 9:40,59,46,13,8,1,7,13,2,11,18,4,14,28,4,24,0.779661017
2016/9/22 10:00,47,37,10,8,1,7,16,4,12,25,5,20,38,8,30,0.787234043
2016/9/22 10:20,49,37,12,2,0,2,4,0,4,15,3,12,22,5,17,0.755102041
2016/9/22 10:40,43,34,9,6,2,4,11,2,9,17,4,13,23,7,16,0.790697674
2016/9/22 11:00,27,22,5,7,1,6,7,1,6,12,2,10,20,4,16,0.814814815
2016/9/22 11:20,35,27,8,4,1,3,7,1,6,12,2,10,15,2,13,0.771428571
2016/9/22 11:40,49,43,6,4,1,3,4,1,3,6,1,5,17,3,14,0.87755102
2016/9/22 12:00,34,23,11,7,0,7,11,1,10,20,2,18,27,4,23,0.676470588
2016/9/22 12:20,43,28,15,7,2,5,12,2,10,15,3,12,18,5,13,0.651162791
2016/9/22 12:40,41,30,11,6,3,3,10,4,6,15,6,9,25,10,15,0.731707317
2016/9/22 13:00,46,36,10,9,2,7,13,3,10,17,5,12,23,8,15,0.782608696
2016/9/22 13:20,64,47,17,9,0,9,12,1,11,16,3,13,27,5,22,0.734375
2016/9/22 13:40,41,30,11,12,3,9,18,5,13,26,7,19,34,9,25,0.731707317
2016/9/22 14:00,58,36,22,4,2,2,5,3,2,8,4,4,17,6,11,0.620689655
2016/9/22 14:20,41,32,9,13,5,8,16,6,10,21,7,14,29,9,20,0.780487805
2016/9/22 14:40,33,22,11,5,1,4,7,2,5,11,2,9,13,2,11,0.666666667
2016/9/22 15:00,61,43,18,3,0,3,9,3,6,16,5,11,21,8,13,0.704918033
2016/9/22 15:20,48,33,15,9,3,6,16,4,12,21,4,17,28,5,23,0.6875
2016/9/22 15:40,57,43,14,9,3,6,16,6,10,19,6,13,22,7,15,0.754385965
2016/9/22 16:00,58,45,13,6,1,5,12,2,10,16,2,14,22,2,20,0.775862069
2016/9/22 16:20,52,39,13,5,2,3,8,3,5,8,3,5,21,6,15,0.75
2016/9/22 16:40,42,29,13,8,1,7,11,1,10,17,2,15,26,5,21,0.69047619
2016/9/22 17:00,29,22,7,6,2,4,11,5,6,16,6,10,23,8,15,0.75862069
2016/9/22 17:20,36,27,9,2,0,2,4,1,3,6,1,5,9,1,8,0.75
2016/9/22 17:40,33,26,7,4,1,3,7,2,5,9,2,7,18,3,15,0.787878788
2016/9/22 18:00,26,17,9,1,0,1,4,1,3,10,2,8,16,3,13,0.653846154
2016/9/22 18:20,21,16,5,2,1,1,4,1,3,5,2,3,8,4,4,0.761904762
2016/9/22 18:40,24,16,8,5,2,3,8,2,6,10,3,7,12,4,8,0.666666667
2016/9/22 19:00,30,23,7,0,0,0,5,2,3,7,2,5,9,3,6,0.766666667
2016/9/22 19:20,18,15,3,1,0,1,4,0,4,4,0,4,8,3,5,0.833333333
2016/9/22 19:40,33,25,8,2,0,2,2,0,2,3,0,3,10,1,9,0.757575758
2016/9/22 20:00,24,18,6,1,0,1,3,0,3,7,2,5,12,3,9,0.75
2016/9/22 20:20,18,17,1,1,0,1,1,0,1,7,2,5,12,2,10,0.944444444
2016/9/22 20:40,18,12,6,1,0,1,4,0,4,5,0,5,8,0,8,0.666666667
2016/9/22 21:00,17,11,6,6,2,4,7,3,4,9,4,5,11,5,6,0.647058824
2016/9/22 21:20,18,14,4,2,1,1,4,2,2,6,3,3,9,3,6,0.777777778
2016/9/22 21:40,20,13,7,0,0,0,2,1,1,6,2,4,8,2,6,0.65
2016/9/22 22:00,9,6,3,2,0,2,5,1,4,5,1,4,7,2,5,0.666666667
2016/9/22 22:20,7,7,0,0,0,0,1,0,1,2,1,1,4,3,1,1
2016/9/22 22:40,7,7,0,3,0,3,4,0,4,4,0,4,5,0,5,1
2016/9/22 23:00,2,2,0,2,0,2,2,0,2,3,0,3,3,0,3,1
2016/9/22 23:20,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2016/9/22 23:40,5,4,1,0,0,0,0,0,0,2,1,1,4,3,1,0.8
2016/9/23 0:00,10,8,2,0,0,0,0,0,0,0,0,0,3,1,2,0.8
2016/9/23 0:20,11,11,0,0,0,0,2,0,2,2,0,2,5,0,5,1
2016/9/23 0:40,8,7,1,1,0,1,2,0,2,5,0,5,6,0,6,0.875
2016/9/23 1:00,9,8,1,0,0,0,0,0,0,1,0,1,1,0,1,0.888888889
2016/9/23 1:20,5,5,0,2,0,2,4,1,3,5,1,4,6,1,5,1
2016/9/23 1:40,7,6,1,0,0,0,0,0,0,4,0,4,4,0,4,0.857142857
2016/9/23 2:00,4,4,0,2,0,2,2,0,2,4,1,3,4,1,3,1
2016/9/23 2:20,5,4,1,1,0,1,1,0,1,1,0,1,1,0,1,0.8
2016/9/23 2:40,9,9,0,0,0,0,1,0,1,2,0,2,3,0,3,1
